state,time,id,cov1,cov2
2,0,1,0,0
1,0.00694444444444444,1,0,0
5,0.0486111111111111,1,0,0
4,0.0625,1,0,0
8,0.131944444444444,1,0,0
6,0.135416666666667,1,0,0
10,0.142361111111111,1,0,0
7,0,2,0,0
3,0.0694444444444444,2,0,0
1,0.0902777777777778,2,0,0
2,0.100694444444444,2,0,0
5,0.128472222222222,2,0,0
9,0.142361111111111,2,0,0
2,0,3,0,0
5,0.0138888888888889,3,0,0
4,0.0416666666666667,3,0,0
6,0.0451388888888889,3,0,0
7,0.0555555555555556,3,0,0
2,0.0798611111111111,3,0,0
8,0.0868055555555556,3,0,0
3,0,4,0,0
5,0.0555555555555556,4,0,0
10,0.0694444444444444,4,0,0
2,0.0763888888888889,4,0,0
1,0.159722222222222,4,0,0
